Folder,Object,Mangled Name,Demangled Name,Start Address
,,_ZNK2al9ParameterIbE3ptrEv,al::Parameter<bool>::ptr(void)const,0x710089e14c
,,_ZN2al9ParameterIbE3ptrEv,al::Parameter<bool>::ptr(void),0x710089e154
,,_ZNK2al9ParameterIbE4sizeEv,al::Parameter<bool>::size(void)const,0x710089e15c
,,_ZNK2al9ParameterIbE15getParamTypeStrEv,al::Parameter<bool>::getParamTypeStr(void)const,0x710089e164
,,_ZNK2al9ParameterIbE12getParamTypeEv,al::Parameter<bool>::getParamType(void)const,0x710089e16c
,,_ZN2al9ParameterIN4sead15FixedSafeStringILi64EEEEC2ERKS3_RKNS1_14SafeStringBaseIcEESA_SA_PNS_12ParameterObjEb,"al::Parameter<sead::FixedSafeString<64>>::Parameter(sead::FixedSafeString<64> const&,sead::SafeStringBase<char> const&,sead::SafeStringBase<char> const&,sead::SafeStringBase<char> const&,al::ParameterObj *,bool)",0x710089e174
,,_ZNK2al17ParameterString6415getParamTypeStrEv,al::ParameterString64::getParamTypeStr(void)const,0x710089e378
,,_ZNK2al17ParameterString6412getParamTypeEv,al::ParameterString64::getParamType(void)const,0x710089e380
,,_ZNK2al9ParameterIN4sead15FixedSafeStringILi64EEEE3ptrEv,al::Parameter<sead::FixedSafeString<64>>::ptr(void)const,0x710089e388
,,_ZN2al9ParameterIN4sead15FixedSafeStringILi64EEEE3ptrEv,al::Parameter<sead::FixedSafeString<64>>::ptr(void),0x710089e390
,,_ZNK2al9ParameterIN4sead15FixedSafeStringILi64EEEE4sizeEv,al::Parameter<sead::FixedSafeString<64>>::size(void)const,0x710089e398
,,_ZNK2al9ParameterIN4sead15FixedSafeStringILi64EEEE15getParamTypeStrEv,al::Parameter<sead::FixedSafeString<64>>::getParamTypeStr(void)const,0x710089e3a0
,,_ZNK2al9ParameterIN4sead15FixedSafeStringILi64EEEE12getParamTypeEv,al::Parameter<sead::FixedSafeString<64>>::getParamType(void)const,0x710089e3a8
,RippleFixMapParts.o,_ZN2al17RippleFixMapPartsC2EPKc,al::RippleFixMapParts::RippleFixMapParts(char const*),0x710089e3b0
,,_ZN2al17RippleFixMapPartsC1EPKc,al::RippleFixMapParts::RippleFixMapParts(char const*),0x710089e438
,,_ZN2al17RippleFixMapParts4initERKNS_13ActorInitInfoE,al::RippleFixMapParts::init(al::ActorInitInfo const&),0x710089e4cc
,,_ZN2al17RippleFixMapParts18initAfterPlacementEv,al::RippleFixMapParts::initAfterPlacement(void),0x710089e9c0
,,_ZN2al17RippleFixMapParts6appearEv,al::RippleFixMapParts::appear(void),0x710089e9d0
,,_ZN2al17RippleFixMapParts7controlEv,al::RippleFixMapParts::control(void),0x710089e9fc
,,_ZN2al17RippleFixMapParts8movementEv,al::RippleFixMapParts::movement(void),0x710089ec30
,,_ZN2al17RippleFixMapParts8calcAnimEv,al::RippleFixMapParts::calcAnim(void),0x710089ec34
,,_ZN2al17RippleFixMapParts10receiveMsgEPKNS_9SensorMsgEPNS_9HitSensorES5_,"al::RippleFixMapParts::receiveMsg(al::SensorMsg const*,al::HitSensor *,al::HitSensor *)",0x710089ec44
,RippleGeneratePoint.o,_ZN2al19RippleGeneratePointC2EPKc,al::RippleGeneratePoint::RippleGeneratePoint(char const*),0x710089eca8
,,_ZN2al19RippleGeneratePointC1EPKc,al::RippleGeneratePoint::RippleGeneratePoint(char const*),0x710089ed84
,,_ZN2al19RippleGeneratePoint4initERKNS_13ActorInitInfoE,al::RippleGeneratePoint::init(al::ActorInitInfo const&),0x710089ee6c
,,_ZN2al19RippleGeneratePoint18initAfterPlacementEv,al::RippleGeneratePoint::initAfterPlacement(void),0x710089ef8c
,,_ZN2al19RippleGeneratePoint7controlEv,al::RippleGeneratePoint::control(void),0x710089eff4
,,_ZN2al19RippleGeneratePoint7exeWaitEv,al::RippleGeneratePoint::exeWait(void),0x710089f004
,,_ZN2al19RippleGeneratePoint11exeGenerateEv,al::RippleGeneratePoint::exeGenerate(void),0x710089f044
,,sub_710089F2EC,,0x710089f2ec
,,sub_710089F330,,0x710089f330
,RippleTextureController.o,_ZN2al23RippleTextureControllerC2EPKc,al::RippleTextureController::RippleTextureController(char const*),0x710089f338
,,_ZN2al23RippleTextureController9initParamEPNS_11ParameterIoEPKNS_9ByamlIterEPNS_11IUseHioNodeEPNS_18GraphicsSystemInfoERKN4sead7Vector3IfEERKNSA_4QuatIfEE,"al::RippleTextureController::initParam(al::ParameterIo *,al::ByamlIter const*,al::IUseHioNode *,al::GraphicsSystemInfo *,sead::Vector3<float> const&,sead::Quat<float> const&)",0x710089f34c
,,_ZN2al23RippleTextureController6updateERKN4sead7Vector3IfEES5_b,"al::RippleTextureController::update(sead::Vector3<float> const&,sead::Vector3<float> const&,bool)",0x71008a1304
,,_ZN2al23RippleTextureController14replaceTextureEPNS_9LiveActorEPKcS4_ii,"al::RippleTextureController::replaceTexture(al::LiveActor *,char const*,char const*,int,int)",0x71008a1414
,,_ZNK2al23RippleTextureController11getTexRangeEv,al::RippleTextureController::getTexRange(void)const,0x71008a14ec
,,_ZNK2al23RippleTextureController12getCenterPosEv,al::RippleTextureController::getCenterPos(void)const,0x71008a1508
,,_ZN2al23RippleTextureController13setFieldScaleEf,al::RippleTextureController::setFieldScale(float),0x71008a152c
,,_ZNK2al12ParameterV2f15getParamTypeStrEv,al::ParameterV2f::getParamTypeStr(void)const,0x71008a1560
,,_ZNK2al12ParameterV2f12getParamTypeEv,al::ParameterV2f::getParamType(void)const,0x71008a1568
,,_ZNK2al9ParameterIN4sead7Vector2IfEEE3ptrEv,al::Parameter<sead::Vector2<float>>::ptr(void)const,0x71008a1570
,,_ZN2al9ParameterIN4sead7Vector2IfEEE3ptrEv,al::Parameter<sead::Vector2<float>>::ptr(void),0x71008a1578
,,_ZNK2al9ParameterIN4sead7Vector2IfEEE4sizeEv,al::Parameter<sead::Vector2<float>>::size(void)const,0x71008a1580
,,_ZNK2al9ParameterIN4sead7Vector2IfEEE15getParamTypeStrEv,al::Parameter<sead::Vector2<float>>::getParamTypeStr(void)const,0x71008a1588
,,_ZNK2al9ParameterIN4sead7Vector2IfEEE12getParamTypeEv,al::Parameter<sead::Vector2<float>>::getParamType(void)const,0x71008a1590
,RippleTextureKeeper.o,_ZN2al19RippleTextureKeeperC1Ev,al::RippleTextureKeeper::RippleTextureKeeper(void),0x71008a1598
,,_ZN2al19RippleTextureKeeper17registerRippleTexEPNS_17FluidSimulateWaveE,al::RippleTextureKeeper::registerRippleTex(al::FluidSimulateWave *),0x71008a15a8
,,_ZNK2al19RippleTextureKeeper15activateSamplerEPN3agl11DrawContextEi,"al::RippleTextureKeeper::activateSampler(agl::DrawContext *,int)const",0x71008a15d8
,SineWave.o,_ZN2al8SineWaveC1EPNS_18GraphicsSystemInfoERKN4sead7Vector2IiEERKNS4_IfEE,"al::SineWave::SineWave(al::GraphicsSystemInfo *,sead::Vector2<int> const&,sead::Vector2<float> const&)",0x71008a1660
,,_ZN2al8SineWave8finalizeEv,al::SineWave::finalize(void),0x71008a191c
,,_ZN2al8SineWave6updateERKNS_18GraphicsUpdateInfoE,al::SineWave::update(al::GraphicsUpdateInfo const&),0x71008a19c0
,,_ZN2al8SineWave7calcGpuERKNS_19GraphicsCalcGpuInfoE,al::SineWave::calcGpu(al::GraphicsCalcGpuInfo const&),0x71008a1a00
,,_ZNK2al8SineWave10drawSystemEPKNS_18GraphicsRenderInfoE,al::SineWave::drawSystem(al::GraphicsRenderInfo const*)const,0x71008a1ac4
,,_ZNK2al8SineWave10drawHeightEPN3agl11DrawContextEPNS1_12RenderBufferE,"al::SineWave::drawHeight(agl::DrawContext *,agl::RenderBuffer *)const",0x71008a1b58
,,_ZNK2al8SineWave7drawNrmEPN3agl11DrawContextEPNS1_12RenderBufferE,"al::SineWave::drawNrm(agl::DrawContext *,agl::RenderBuffer *)const",0x71008a1c4c
,,_ZN2al8SineWave13setWaveParamsEffff,"al::SineWave::setWaveParams(float,float,float,float)",0x71008a1d58
,,_ZNK2al8SineWave12calcIsInAreaERKN4sead7Vector3IfEE,al::SineWave::calcIsInArea(sead::Vector3<float> const&)const,0x71008a1d7c
,,_ZThn40_NK2al8SineWave12calcIsInAreaERKN4sead7Vector3IfEE,`non-virtual thunk to'al::SineWave::calcIsInArea(sead::Vector3<float> const&)const,0x71008a1d84
,,_ZNK2al8SineWave7calcPosEPN4sead7Vector3IfEERKS3_,"al::SineWave::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1d8c
,,_ZThn40_NK2al8SineWave7calcPosEPN4sead7Vector3IfEERKS3_,"`non-virtual thunk to'al::SineWave::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1d90
,,_ZNK2al8SineWave11calcPosFlatEPN4sead7Vector3IfEERKS3_,"al::SineWave::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1d94
,,_ZThn40_NK2al8SineWave11calcPosFlatEPN4sead7Vector3IfEERKS3_,"`non-virtual thunk to'al::SineWave::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1d98
,,_ZNK2al8SineWave10calcNormalEPN4sead7Vector3IfEERKS3_,"al::SineWave::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1d9c
,,_ZThn40_NK2al8SineWave10calcNormalEPN4sead7Vector3IfEERKS3_,"`non-virtual thunk to'al::SineWave::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",0x71008a1da0
,,_ZNK2al8SineWave7getNameEv,al::SineWave::getName(void)const,0x71008a1da4
,,_ZNK2al8SineWave11getTypeNameEv,al::SineWave::getTypeName(void)const,0x71008a1db0
,,_ZThn40_NK2al8SineWave11getTypeNameEv,`non-virtual thunk to'al::SineWave::getTypeName(void)const,0x71008a1db8
Library/Fog,FogDirector.o,_ZNK2al8FogParam8isEnableEv,al::FogParam::isEnable(void)const,0x71008a1dc0
,,_ZNK2al8FogParam10isApplySkyEv,al::FogParam::isApplySky(void)const,0x71008a1dcc
,,_ZNK2al8FogParam17isApplySkyDefaultEv,al::FogParam::isApplySkyDefault(void)const,0x71008a1dd8
,,_ZNK2al8FogParam13isDeferredFogEv,al::FogParam::isDeferredFog(void)const,0x71008a1de4
,,_ZNK2al8FogParam11isBlendMultEv,al::FogParam::isBlendMult(void)const,0x71008a1df0
,,_ZNK2al8FogParam9isInWaterEv,al::FogParam::isInWater(void)const,0x71008a1dfc
,,_ZNK2al8FogParam13isUseDepthTgtEv,al::FogParam::isUseDepthTgt(void)const,0x71008a1e08
,,_ZNK2al8FogParam8getColorEv,al::FogParam::getColor(void)const,0x71008a1e14
,,_ZNK2al8FogParam8getStartEv,al::FogParam::getStart(void)const,0x71008a1e20
,,_ZNK2al8FogParam8getSlopeEv,al::FogParam::getSlope(void)const,0x71008a1e2c
,,_ZNK2al8FogParam6getMaxEv,al::FogParam::getMax(void)const,0x71008a1e38
,,_ZNK2al8FogParam9getSkyMipEv,al::FogParam::getSkyMip(void)const,0x71008a1e44
,,_ZNK2al8FogParam17getNoiseIntensityEv,al::FogParam::getNoiseIntensity(void)const,0x71008a1e50
,,_ZNK2al8FogParam16getNoiseDistCoefEv,al::FogParam::getNoiseDistCoef(void)const,0x71008a1e5c
,,_ZNK2al8FogParam19getNoiseTexCrdScaleEv,al::FogParam::getNoiseTexCrdScale(void)const,0x71008a1e68
,,_ZNK2al8FogParam22getNoiseTexCrdVelocityEv,al::FogParam::getNoiseTexCrdVelocity(void)const,0x71008a1e74
,,_ZN2al8FogParam9setEnableEb,al::FogParam::setEnable(bool),0x71008a1e80
,,_ZN2al8FogParam11setApplySkyEb,al::FogParam::setApplySky(bool),0x71008a1e90
,,_ZN2al8FogParam18setApplySkyDefaultEb,al::FogParam::setApplySkyDefault(bool),0x71008a1ea0
,,_ZN2al8FogParam12setBlendMultEb,al::FogParam::setBlendMult(bool),0x71008a1eb0
,,_ZN2al8FogParam12setIsInWaterEb,al::FogParam::setIsInWater(bool),0x71008a1ec0
,,_ZN2al8FogParam8setColorERKN4sead7Color4fE,al::FogParam::setColor(sead::Color4f const&),0x71008a1ed0
,,_ZN2al8FogParam8setStartEf,al::FogParam::setStart(float),0x71008a1ee8
,,_ZN2al8FogParam8setSlopeEf,al::FogParam::setSlope(float),0x71008a1ef4
,,_ZN2al8FogParam6setMaxEf,al::FogParam::setMax(float),0x71008a1f00
,,_ZN2al8FogParam9setSkyMipEf,al::FogParam::setSkyMip(float),0x71008a1f0c
,,_ZN2al8FogParam17setNoiseIntensityEf,al::FogParam::setNoiseIntensity(float),0x71008a1f18
,,_ZN2al8FogParam16setNoiseDistCoefEf,al::FogParam::setNoiseDistCoef(float),0x71008a1f24
,,_ZN2al8FogParam19setNoiseTexCrdScaleEf,al::FogParam::setNoiseTexCrdScale(float),0x71008a1f30
,,_ZN2al8FogParam22setNoiseTexCrdVelocityERKN4sead7Vector3IfEE,al::FogParam::setNoiseTexCrdVelocity(sead::Vector3<float> const&),0x71008a1f3c
,,_ZN2al8FogParamC2Ev,al::FogParam::FogParam(void),0x71008a1f5c
,,_ZN2al9YFogParamC2Ev,al::YFogParam::YFogParam(void),0x71008a2e28
,,_ZN2al9YFogParam15setFollowCameraEb,al::YFogParam::setFollowCamera(bool),0x71008a37b0
,,_ZN2al9YFogParam12setBlendTypeEi,al::YFogParam::setBlendType(int),0x71008a37c0
,,_ZNK2al9YFogParam14isFollowCameraEv,al::YFogParam::isFollowCamera(void)const,0x71008a37cc
,,_ZNK2al9YFogParam16getDistanceSlopeEv,al::YFogParam::getDistanceSlope(void)const,0x71008a37d8
,,_ZNK2al9YFogParam12getBlendTypeEv,al::YFogParam::getBlendType(void)const,0x71008a37e4
,,_ZNK2al9YFogParam21getDistanceSlopeScaleEv,al::YFogParam::getDistanceSlopeScale(void)const,0x71008a37f0
,,_ZNK2al9YFogParam16getCausticsStartEv,al::YFogParam::getCausticsStart(void)const,0x71008a37fc
,,_ZNK2al9YFogParam16getCausticsPowerEv,al::YFogParam::getCausticsPower(void)const,0x71008a3808
,,_ZNK2al9YFogParam22getCausticsTexCrdScaleEv,al::YFogParam::getCausticsTexCrdScale(void)const,0x71008a3814
,,_ZNK2al9YFogParam23getCausticsTexCrdScaleYEv,al::YFogParam::getCausticsTexCrdScaleY(void)const,0x71008a3820
,,_ZNK2al9YFogParam23getCausticsTexCrdYSpeedEv,al::YFogParam::getCausticsTexCrdYSpeed(void)const,0x71008a382c
,,_ZNK2al9YFogParam20getCausticsIntensityEv,al::YFogParam::getCausticsIntensity(void)const,0x71008a3838
,,_ZN2al9YFogParam16trySetCameraYPosEPKN4sead6CameraE,al::YFogParam::trySetCameraYPos(sead::Camera const*),0x71008a3844
,,_ZN2al11FogDirectorC1EPNS_12ShaderHolderEPNS_15CubeMapDirectorEPNS_18NoiseTextureKeeperERKNS_15GraphicsInitArgE,"al::FogDirector::FogDirector(al::ShaderHolder *,al::CubeMapDirector *,al::NoiseTextureKeeper *,al::GraphicsInitArg const&)",0x71008a389c
,,_ZN2al11FogDirectorD2Ev,al::FogDirector::~FogDirector(),0x71008a3a24
,,_ZN2al11FogDirector7endInitEv,al::FogDirector::endInit(void),0x71008a3a58
,,_ZN2al11FogDirector12clearRequestEv,al::FogDirector::clearRequest(void),0x71008a3a80
,,_ZN2al11FogDirector6updateEv,al::FogDirector::update(void),0x71008a3aa8
,,_ZNK2al11FogDirector25getFogNoiseTexCrdVelocityEv,al::FogDirector::getFogNoiseTexCrdVelocity(void)const,0x71008a3b5c
,,_ZNK2al11FogDirector26getYFogNoiseTexCrdVelocityEv,al::FogDirector::getYFogNoiseTexCrdVelocity(void)const,0x71008a3b70
,,_ZNK2al11FogDirector23getCausticsTexCrdYSpeedEv,al::FogDirector::getCausticsTexCrdYSpeed(void)const,0x71008a3b84
,,_ZN2al11FogDirector13updateViewGpuEPKN4sead6CameraE,al::FogDirector::updateViewGpu(sead::Camera const*),0x71008a3b98
,,_ZN2al11FogDirector16trySetCameraYPosEPKN4sead6CameraE,al::FogDirector::trySetCameraYPos(sead::Camera const*),0x71008a4208
,,_ZNK2al11FogDirector11getFogStartEv,al::FogDirector::getFogStart(void)const,0x71008a4264
,,_ZNK2al11FogDirector11getFogColorEv,al::FogDirector::getFogColor(void)const,0x71008a4278
,,_ZNK2al11FogDirector11getFogSlopeEv,al::FogDirector::getFogSlope(void)const,0x71008a428c
,,_ZNK2al11FogDirector9getFogMaxEv,al::FogDirector::getFogMax(void)const,0x71008a42a0
,,_ZNK2al11FogDirector12getYFogColorEv,al::FogDirector::getYFogColor(void)const,0x71008a42b4
,,_ZNK2al11FogDirector12getYFogSlopeEv,al::FogDirector::getYFogSlope(void)const,0x71008a42c8
,,_ZNK2al11FogDirector12getYFogStartEv,al::FogDirector::getYFogStart(void)const,0x71008a42dc
,,_ZNK2al11FogDirector10getYFogMaxEv,al::FogDirector::getYFogMax(void)const,0x71008a42f0
,,_ZNK2al11FogDirector20getYFogDistnaceScaleEv,al::FogDirector::getYFogDistnaceScale(void)const,0x71008a4304
,,_ZNK2al11FogDirector14isRequestedFogEv,al::FogDirector::isRequestedFog(void)const,0x71008a4318
,,_ZNK2al11FogDirector12getFogSkyMipEv,al::FogDirector::getFogSkyMip(void)const,0x71008a432c
,,_ZNK2al11FogDirector13getYFogSkyMipEv,al::FogDirector::getYFogSkyMip(void)const,0x71008a4340
,,_ZNK2al11FogDirector22getFogNoiseTexCrdScaleEv,al::FogDirector::getFogNoiseTexCrdScale(void)const,0x71008a4354
,,_ZNK2al11FogDirector23getYFogNoiseTexCrdScaleEv,al::FogDirector::getYFogNoiseTexCrdScale(void)const,0x71008a4368
,,_ZNK2al11FogDirector20getFogNoiseIntensityEv,al::FogDirector::getFogNoiseIntensity(void)const,0x71008a437c
,,_ZNK2al11FogDirector21getYFogNoiseIntensityEv,al::FogDirector::getYFogNoiseIntensity(void)const,0x71008a4390
,,_ZNK2al11FogDirector19getFogNoiseDistCoefEv,al::FogDirector::getFogNoiseDistCoef(void)const,0x71008a43a4
,,_ZNK2al11FogDirector20getYFogNoiseDistCoefEv,al::FogDirector::getYFogNoiseDistCoef(void)const,0x71008a43b8
,,_ZNK2al11FogDirector16getCausticsStartEv,al::FogDirector::getCausticsStart(void)const,0x71008a43cc
,,_ZNK2al11FogDirector16getCausticsPowerEv,al::FogDirector::getCausticsPower(void)const,0x71008a43e0
,,_ZNK2al11FogDirector22getCausticsTexCrdScaleEv,al::FogDirector::getCausticsTexCrdScale(void)const,0x71008a43f4
,,_ZNK2al11FogDirector20getCausticsIntensityEv,al::FogDirector::getCausticsIntensity(void)const,0x71008a4408
,,_ZNK2al11FogDirector23getCausticsTexCrdScaleYEv,al::FogDirector::getCausticsTexCrdScaleY(void)const,0x71008a441c
,,_ZNK2al11FogDirector9isInWaterEv,al::FogDirector::isInWater(void)const,0x71008a4430
,,_ZNK2al11FogDirector16setupDeferredFogEPN3agl11DrawContextEPKNS1_13ShaderProgramE,"al::FogDirector::setupDeferredFog(agl::DrawContext *,agl::ShaderProgram const*)const",0x71008a4468
,,_ZNK2al11FogDirector15activateCubeMapEPN3agl11DrawContextEPKNS1_13ShaderProgramE,"al::FogDirector::activateCubeMap(agl::DrawContext *,agl::ShaderProgram const*)const",0x71008a461c
,,_ZNK2al11FogDirector7drawFogEPN3agl11DrawContextEPKNS1_11TextureDataEPKNS1_17RenderTargetDepthES6_b,"al::FogDirector::drawFog(agl::DrawContext *,agl::TextureData const*,agl::RenderTargetDepth const*,agl::TextureData const*,bool)const",0x71008a4728
,,_ZNK2al11FogDirector15isRequestedYFogEv,al::FogDirector::isRequestedYFog(void)const,0x71008a5550
,,_ZNK2al11FogDirector11isBlendMultEv,al::FogDirector::isBlendMult(void)const,0x71008a5564
,,_ZNK2al11FogDirector14isDeferredYFogEv,al::FogDirector::isDeferredYFog(void)const,0x71008a559c
,,_ZNK2al11FogDirector13isDeferredFogEv,al::FogDirector::isDeferredFog(void)const,0x71008a55b0
,,_ZNK2al11FogDirector10isApplySkyEv,al::FogDirector::isApplySky(void)const,0x71008a55c4
,,_ZNK2al11FogDirector17isApplySkyDefaultEv,al::FogDirector::isApplySkyDefault(void)const,0x71008a55fc
,,_ZNK2al11FogDirector20getYFogDistnaceSlopeEv,al::FogDirector::getYFogDistnaceSlope(void)const,0x71008a5634
,,_ZNK2al11FogDirector13isUseDepthTgtEv,al::FogDirector::isUseDepthTgt(void)const,0x71008a5648
,,_ZNK2al11FogDirector16getYFogBlendTypeEv,al::FogDirector::getYFogBlendType(void)const,0x71008a5680
,,_ZN2al11FogDirector15requestFogParamEiiRKNS_8FogParamE,"al::FogDirector::requestFogParam(int,int,al::FogParam const&)",0x71008a5694
,,_ZN2al11FogDirector16requestYFogParamEiiRKNS_9YFogParamE,"al::FogDirector::requestYFogParam(int,int,al::YFogParam const&)",0x71008a569c
,,_ZNK2al11FogDirector18getCurrentFogParamEv,al::FogDirector::getCurrentFogParam(void)const,0x71008a56a4
,,_ZNK2al11FogDirector19getCurrentYFogParamEv,al::FogDirector::getCurrentYFogParam(void)const,0x71008a56b0
,,_ZN2al11FogDirector18onConnectCollisionEv,al::FogDirector::onConnectCollision(void),0x71008a56bc
,,_ZN2al11FogDirector19getCurrentYFogParamEv,al::FogDirector::getCurrentYFogParam(void),0x71008a56d0
,,_ZN2al11FogDirector13setBaseOffsetEf,al::FogDirector::setBaseOffset(float),0x71008a56dc
,,_ZN2al11FogDirector18getCurrentFogParamEv,al::FogDirector::getCurrentFogParam(void),0x71008a56ec
,,_ZN11FogFunction14getFogDirectorEPKN2al9LiveActorE,FogFunction::getFogDirector(al::LiveActor const*),0x71008a56f8
,,_ZNK2al8FogParam12getParamNameEv,al::FogParam::getParamName(void)const,0x71008a5714
,,_ZN2al8FogParam11getParamObjEv,al::FogParam::getParamObj(void),0x71008a5720
,,_ZNK2al8FogParam11getParamObjEv,al::FogParam::getParamObj(void)const,0x71008a5728
,,_ZNK2al9YFogParam12getParamNameEv,al::YFogParam::getParamName(void)const,0x71008a5730
,,_ZN2al9YFogParam11getParamObjEv,al::YFogParam::getParamObj(void),0x71008a573c
,,_ZNK2al9YFogParam11getParamObjEv,al::YFogParam::getParamObj(void)const,0x71008a5744
,,_ZNK2al9YFogParam8getStartEv,al::YFogParam::getStart(void)const,0x71008a574c
,FogRequester.o,_ZN2al12FogRequesterC2EPKc,al::FogRequester::FogRequester(char const*),0x71008a5760
,,_ZN2al12FogRequesterC1EPKc,al::FogRequester::FogRequester(char const*),0x71008a581c
,,_ZN2al12FogRequester4initERKNS_13ActorInitInfoE,al::FogRequester::init(al::ActorInitInfo const&),0x71008a58e4
,,_ZN2al12FogRequester14appearBySwitchEv,al::FogRequester::appearBySwitch(void),0x71008a5c04
,,_ZN2al12FogRequester18initAfterPlacementEv,al::FogRequester::initAfterPlacement(void),0x71008a5c40
,,_ZN2al12FogRequester7controlEv,al::FogRequester::control(void),0x71008a5c5c
,,_ZNK2al10FunctorV0MIPNS_12FogRequesterEMS1_FvvEEclEv,"al::FunctorV0M<al::FogRequester *,void (al::FogRequester::*)(void)>::operator()(void)const",0x71008a5da8
,,_ZNK2al10FunctorV0MIPNS_12FogRequesterEMS1_FvvEE5cloneEv,"al::FunctorV0M<al::FogRequester *,void (al::FogRequester::*)(void)>::clone(void)const",0x71008a5dc4
,,_ZN2al10FunctorV0MIPNS_12FogRequesterEMS1_FvvEED0Ev,"al::FunctorV0M<al::FogRequester *,void (al::FogRequester::*)(void)>::~FunctorV0M()",0x71008a5e10
,,_ZNK2al10FunctorV0MIPNS_9LiveActorEMS1_FvvEEclEv,"al::FunctorV0M<al::LiveActor *,void (al::LiveActor::*)(void)>::operator()(void)const",0x71008a5e14
,,_ZNK2al10FunctorV0MIPNS_9LiveActorEMS1_FvvEE5cloneEv,"al::FunctorV0M<al::LiveActor *,void (al::LiveActor::*)(void)>::clone(void)const",0x71008a5e30
,,_ZN2al10FunctorV0MIPNS_9LiveActorEMS1_FvvEED0Ev,"al::FunctorV0M<al::LiveActor *,void (al::LiveActor::*)(void)>::~FunctorV0M()",0x71008a5e7c
,,gpuErrorCallback,,0x71008a5e80
Library/Framework,GameFrameworkNx.o,_ZN2al15GameFrameworkNxC1ERKN4sead15GameFrameworkNx9CreateArgE,al::GameFrameworkNx::GameFrameworkNx(sead::GameFrameworkNx::CreateArg const&),0x71008a5e84
,,_ZN2al15GameFrameworkNx19createControllerMgrEPN4sead8TaskBaseE,al::GameFrameworkNx::createControllerMgr(sead::TaskBase *),0x71008a5f0c
,,_ZN2al15GameFrameworkNx7initAglEPN4sead4HeapEiiiiii,"al::GameFrameworkNx::initAgl(sead::Heap *,int,int,int,int,int,int)",0x71008a6388
,,_ZN2al15GameFrameworkNx20createInfLoopCheckerEPN4sead8TaskBaseERKNS1_8TickSpanEi,"al::GameFrameworkNx::createInfLoopChecker(sead::TaskBase *,sead::TickSpan const&,int)",0x71008a69bc
,,_ZN2al15GameFrameworkNx16clearFrameBufferEv,al::GameFrameworkNx::clearFrameBuffer(void),0x71008a6a18
,,_ZN2al15GameFrameworkNx10procFrame_Ev,al::GameFrameworkNx::procFrame_(void),0x71008a6ab4
,,_ZN2al15GameFrameworkNx9procDraw_Ev,al::GameFrameworkNx::procDraw_(void),0x71008a6d14
,,_ZN2al15GameFrameworkNx8present_Ev,al::GameFrameworkNx::present_(void),0x71008a6f74
,,_ZNK2al15GameFrameworkNx27checkDerivedRuntimeTypeInfoEPKN4sead15RuntimeTypeInfo9InterfaceE,al::GameFrameworkNx::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const,0x71008a6f98
,,_ZNK2al15GameFrameworkNx18getRuntimeTypeInfoEv,al::GameFrameworkNx::getRuntimeTypeInfo(void)const,0x71008a6fa0
,,_ZN2al15GameFrameworkNxD0Ev,al::GameFrameworkNx::~GameFrameworkNx(),0x71008a6ffc
,,_ZN2al15GameFrameworkNx15createHostIOMgrEPN4sead8TaskBaseEPNS1_9HostIOMgr9ParameterEPNS1_4HeapE,"al::GameFrameworkNx::createHostIOMgr(sead::TaskBase *,sead::HostIOMgr::Parameter *,sead::Heap *)",0x71008a7020
,,_ZNK4sead13ControllerMgr9Parameter27checkDerivedRuntimeTypeInfoEPKNS_15RuntimeTypeInfo9InterfaceE,sead::ControllerMgr::Parameter::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const,0x71008a7024
,,_ZNK4sead13ControllerMgr9Parameter18getRuntimeTypeInfoEv,sead::ControllerMgr::Parameter::getRuntimeTypeInfo(void)const,0x71008a70f0
,,_ZN2al15GameFrameworkNx33checkDerivedRuntimeTypeInfoStaticEPKN4sead15RuntimeTypeInfo9InterfaceE,al::GameFrameworkNx::checkDerivedRuntimeTypeInfoStatic(sead::RuntimeTypeInfo::Interface const*),0x71008a714c
Library/HitSensor,HitSensorKeeper.o,_ZN2al15HitSensorKeeperC2Ei,al::HitSensorKeeper::HitSensorKeeper(int),0x71008a72c0
,,_ZN2al15HitSensorKeeper9addSensorEPNS_9LiveActorEPKcjftPKN4sead7Vector3IfEEPKNS5_8Matrix34IfEERS8_,"al::HitSensorKeeper::addSensor(al::LiveActor *,char const*,unsigned int,float,unsigned short,sead::Vector3<float> const*,sead::Matrix34<float> const*,sead::Vector3<float> const&)",0x71008a7338
,,_ZN2al15HitSensorKeeper6updateEv,al::HitSensorKeeper::update(void),0x71008a73f0
,,_ZNK2al15HitSensorKeeper12getSensorNumEv,al::HitSensorKeeper::getSensorNum(void)const,0x71008a7438
,,_ZNK2al15HitSensorKeeper9getSensorEi,al::HitSensorKeeper::getSensor(int)const,0x71008a7440
